"Action","Action"
"Active","Aktive"
"Add New FAQ Category","Ajouter une nouvelle catégorie FAQ"
"Add New FAQ Item","Ajouter une nouvelle entrée FAQ"
"All Store Views","Toutes les vues"
"Answer","Réponse"
"Back","Retour"
"Back to the FAQ overview", "Retour FAQ"
"Category","Catégorie"
"Category #","Catégorie #"
"Category Information","Information catégorie"
"Category Name","Nom de la catégorie"
"Content","Contenu"
"Disabled","Désactivé"
"FAQ","FAQ"
"FAQ overview","FAQ vue ensemble"
"Page","Page"
"Publication date","Date de publication"
"Search","Rechercher"
"Status","StatuT"
"There are no FAQ items at the moment.","Pas de FAQ"
"Question","Question"